ind_hhh,Industry
C,C. INDUSTRIA MANUFACTURERA
F,F. CONSTRUCCIÓN
G,G. VENTA POR MAYOR Y POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS
49222,"49222. Transporte en taxi, radiotaxi y mototaxi"
85422,85422. Enseñanza de escuelas y academias de baile
46522,46522. Venta por mayor de equipo telefónico y de comunicaciones
47522,47522. Venta por menor de pintura y productos conexos
47722,"47722. Venta por menor de artículos de talabartería, marroquinería y otros artículos de cuero y piel"
47822,47822. Venta de prendas de vestir en puestos de venta y mercados
13922,"13922. Fabricación de mantelería, toallas y paños de cocina"
64922,64922. Concesión de préstamos fuera del sistema bancario
47922,47922. Venta realizada por vendedores a domicilio
20232,"20232. Fabricación de cosméticos, perfumes, productos de higiene y tocador"
84232,84232. Actividades de servicios judiciales y de justicia (administración de prisiones)
49232,49232. Transporte automotor de carga interprovincial y interdepartamental
46432,46432. Venta por mayor de artículos de iluminación
46632,46632. Venta por mayor de artículos sanitarios
10732,10732. Elaboración de chocolates y productos de chocolate
47732,47732. Venta por menor de cosméticos y artículos de perfumería
25932,25932. Fabricación de herramientas de mano y artículos de ferretería
