district,District
20171,San José Tenango (Oaxaca)
20187,San Juan Coatzóspam (Oaxaca)
20234,San Lucas Zoquiápam (Oaxaca)
20271,San Miguel Mixtepec (Oaxaca)
20277,Villa Sola de Vega (Oaxaca)
20309,San Pedro Ixcatlán (Oaxaca)
20318,San Pedro Mixtepec (Oaxaca)
20365,Santa Catarina Lachatao (Oaxaca)
20372,Santa Catarina Yosonotú (Oaxaca)
20401,Santa María Colotepec (Oaxaca)
20406,Santa María Chilchotla (Oaxaca)
20439,Santa María Tonameca (Oaxaca)
20447,Santa María Zacatepec (Oaxaca)
20466,Santiago Ixtayutla (Oaxaca)
20491,Santiago Textitlán (Oaxaca)
20559,San Juan Bautista Valle Nacional (Oaxaca)
20026,Chalcatongo de Hidalgo (Oaxaca)
20064,Nejapa de Madero (Oaxaca)
20200,San Juan Juquila Mixes (Oaxaca)
20202,San Juan Lachao (Oaxaca)
20315,San Pedro Mártir (Oaxaca)
20348,San Sebastián Tecomaxtlahuaca (Oaxaca)
20349,San Sebastián Teitipac (Oaxaca)
20460,Santiago Choápam (Oaxaca)
20504,Nuevo Zoquiápam (Oaxaca)
21114,Puebla (Puebla)
21156,Tehuacán (Puebla)
21004,Acatzingo (Puebla)
21015,Amozoc (Puebla)
21019,Atlixco (Puebla)
21041,Cuautlancingo (Puebla)
21085,Izúcar de Matamoros (Puebla)
21094,Libres (Puebla)
21115,Quecholac (Puebla)
21119,San Andrés Cholula (Puebla)
21132,San Martín Texmelucan (Puebla)
21140,San Pedro Cholula (Puebla)
21154,Tecamachalco (Puebla)
21163,Tepatlaxco de Hidalgo (Puebla)
21164,Tepeaca (Puebla)
21174,Teziutlán (Puebla)
21197,Xicotepec (Puebla)
21029,Caxhuacan (Puebla)
21034,Coronango (Puebla)
21054,Chignautla (Puebla)
21090,Juan C. Bonilla (Puebla)
21102,Nealtican (Puebla)
21104,Nopalucan (Puebla)
21110,Palmar de Bravo (Puebla)
21125,San Gregorio Atzompa (Puebla)
21129,San José Miahuatlán (Puebla)
21138,San Nicolás de los Ranchos (Puebla)
21143,San Salvador el Verde (Puebla)
21153,Tecali de Herrera (Puebla)
21170,Tepeyahualco (Puebla)
21189,Tochtepec (Puebla)
21194,Venustiano Carranza (Puebla)
21205,Yehualtepec (Puebla)
21008,Ahuazotepec (Puebla)
21186,Tlatlauquitepec (Puebla)
21040,Cuautinchán (Puebla)
21043,Cuetzalan del Progreso (Puebla)
21053,Chignahuapan (Puebla)
21061,Eloxochitlán (Puebla)
21062,Epatlán (Puebla)
21064,Francisco Z. Mena (Puebla)
21074,Huejotzingo (Puebla)
21076,Hueytamalco (Puebla)
21078,Huitzilan de Serdán (Puebla)
21083,Ixtacamaxtitlán (Puebla)
21091,Juan Galindo (Puebla)
21099,Cañada Morelos (Puebla)
21111,Pantepec (Puebla)
21169,Tepexi de Rodríguez (Puebla)
21176,Tilapa (Puebla)
21199,Xiutetelco (Puebla)
21202,Xochitlán de Vicente Suárez (Puebla)
21127,San Jerónimo Xayacatlán (Puebla)
21145,San Sebastián Tlacotepec (Puebla)
21160,Teotlalco (Puebla)
21206,Zacapala (Puebla)
21179,Tlachichuca (Puebla)
22014,Querétaro (Querétaro)
22016,San Juan del Río (Querétaro)
22006,Corregidora (Querétaro)
22017,Tequisquiapan (Querétaro)
22001,Amealco de Bonfil (Querétaro)
22005,Colón (Querétaro)
22007,Ezequiel Montes (Querétaro)
22011,El Marqués (Querétaro)
22012,Pedro Escobedo (Querétaro)
22018,Tolimán (Querétaro)
22004,Cadereyta de Montes (Querétaro)
